pericardium	màng ngoài tim
Lateral femoral cutaneous nerve	thần kinh bì đùi ngoài
genitofemoral nerve	thần kinh sinh dục đùi
Genital branch	nhánh sinh dục
Femoral branch	nhánh đùi
Saphenous opening	lỗ tĩnh mạch hiển
fossa ovalis	hố bầu dục
Fascia lata	mạc đùi
femoral nerve	thần kinh đùi
obturator nerve	thần kinh bịt
Patellar nerve plexus	đám rối thần kinh bánh chè
Infrapatellar branch	nhánh dưới bánh chè
saphenous nerve	thần kinh hiển
terminal branch	nhánh tận
lateral sural cutaneous nerve	thần kinh bì bắp chân ngoài
fibular nerve	thần kinh mác
Dorsal digital nerve	thần kinh mu ngón
dorsal cutaneous nerve	thần kinh bì mu
sural nerve	thần kinh bắp chân
Lateral dorsal digital nerve	thần kinh mu ngón chân ngoài
cutaneous branch	nhánh bì
iliohypogastric nerve	thần kinh chậu hạ vị
Iliac crest	mào chậu
Medial clunial nerves	thần kinh bì mông giữa
dorsal rami	nhánh sau
Superior clunial nerve	thần kinh bì mông trên
Inferior clunial nerve	thần kinh bì mông dưới
posterior femoral cutaneous nerve	thần kinh bì đùi sau
Perforating cutaneous nerve	thần kinh bì xuyên
Small saphenous vein	tĩnh mạch hiển bé
Medial sural cutaneous nerve	thần kinh bì bắp chân trong
tibial nerve	thần kinh chày
calcaneal	gót	thuộc về gót
Lateral dorsal cutaneous nerve	thần kinh bì mu chân ngoài
Plantar cutaneous branch	nhánh bì gan chân
medial plantar nerve	thần kinh gan chân trong
lateral plantar nerve	thần kinh gan chân ngoài
Popliteal vein	tĩnh mạch kheo
Popliteal	kheo	thuộc về kheo
lymph node	hạch bạch huyết
Horizontal group	nhóm ngang
Superolateral	trên ngoài
Superomedial	trên trong
Vertical group	nhóm đứng	nhóm dọc
inguinal	bẹn	thuộc về bẹn
Cribriform fascia	mạc sàng
lymph vessel	mạch bạch huyết
Femoral ring	vòng đùi
Lacunar ligament	dây chằng khuyết
Femoral canal	ống đùi
Femoral	đùi	thuộc về đùi
gluteus medius muscle 	cơ mông nhỡ
Gluteal aponeurosis	mạc mông
Gluteus maximus muscle	cơ mông lớn
Gluteus minimus muscle	cơ mông bé
Tensor fasciae latae muscle	cơ căng mạc đùi
Pudendal nerve	thần kinh thẹn
Piriformis muscle	cơ hình lê
Superior gemellus muscle	cơ sinh đôi trên
obturator internus	bịt trong
superior gemellus	sinh đôi trên
Greater trochanter	mấu chuyển lớn
femur	xương đùi
Sacrotuberous ligament	dây chằng cùng ụ ngồi
Ischial tuberosity	ụ ngồi
Inferior gemellus muscle	cơ sinh đôi dưới
Quadratus femoris muscle	cơ vuông đùi
Adductor magnus muscle	cơ khép lớn
Medial circumflex femoral artery	động mạch mũ đùi trong
Gracilis muscle	cơ thon
Sciatic nerve	thần kinh ngồi
Semitendinosus muscle	cơ bán gân
Adductor	khép
Semimembranosus muscle	cơ bán màng
perforating artery	động mạch xuyên
profunda femoris artery	động mạch đùi sâu
Articular branch	nhánh khớp
Adductor hiatus	vòng gân cơ khép
Biceps femoris muscle	cơ nhị đầu đùi
Superior medial genicular artery	động mạch gối trên trong
genicular	gối	thuộc về gối
Gastrocnemius muscle	cơ bụng chân
Plantaris muscle	cơ gan chân
Lateral circumflex femoral artery	động mạch mũ đùi ngoài
Anterior tibial artery	động mạch chày trước
Interosseous membrane	màng gian cốt
Fibular collateral ligament	dây chằng bên mác
Biceps femoris tendon	gân cơ nhị đầu đùi
fibula	xương mác
Popliteus muscle	cơ kheo
Soleus muscle	cơ dép
Flexor digitorum longus muscle	cơ gấp các ngón chân dài
Flexor hallucis longus muscle	cơ gấp ngón chân cái dài
Tibialis posterior muscle	cơ chày sau
Perforating branch	nhánh xuyên
Communicating branch	Nhánh nối
Flexor digitorum longus tendon	gân cơ gấp các ngón chân dài
Fibularis longus tendon 	Gân cơ mác dài
Fibularis brevis tendon	gân cơ mác ngắn
malleolus	mắt cá
fibular artery	động mạch mác
Flexor hallucis longus tendon	gân cơ gấp các ngón chân dài
metatarsal bone	xương đốt bàn
posterior tibial artery	động mạch chày sau
Superior lateral genicular artery	động mạch gối trên ngoài
retinaculum	mạc
patellar	bánh chè	thuộc về bánh chè
Iliotibial tract	dải chậu chày
Inferior lateral genicular artery	động mạch gối dưới ngoài
Tibial collateral ligament	dây chằng bên chày
Medial patellar retinaculum	mạc giữ bánh chè trong
Infrapatellar branch	nhánh dưới bánh chè
Inferior medial genicular artery	động mạch gối dưới trong
Patellar ligament	dây chằng bánh chè
Fibularis longus muscle	cơ mác dài
Extensor digitorum longus muscle	cơ duỗi các ngón chân dài
sartorius	cơ may
Tibialis anterior muscle	cơ chày trước
Fibularis brevis muscle	cơ mác ngắn
Tibia	xương chày
Extensor hallucis longus muscle	cơ duỗi ngón chân cái dài
malleolar	mắt cá	thuộc về mắt cá
Anterior medial malleolar artery	động mạch mắt cá trong trước
tarsal	cổ chân	thuộc về cổ chân
Dorsalis pedis artery	động mạch mu chân
Arcuate artery	động mạch cung
deep plantar arch	cung động mạch gan chân sâu
Deep plantar artery	động mạch gan chân sâu
plantar	gan chân	thuộc về gan chân
Dorsal metatarsal artery	động mạch mu đốt bàn
Internal iliac artery	động mạch chậu trong
External iliac artery	động mạch chậu ngoài
vesical	bàng quang	thuộc về bàng quang
Umbilical artery	động mạch rốn
Inferior vesical artery	động mạch bàng quang dưới
Peritoneum	Phúc mạc
Uterine tube	vòi tử cung
